name,gender,race,call,city,education,jobs,experience,honors,volunteer,military,holes,workinschool,email,computer,special,minimum,equal,expreq,comreq,educreq,compreq,orgreq
Jill,f,w,0,c,4,4,9,0,0,0,1,1,0,1,0,8,1,1,0,0,1,0
Latoya,f,b,0,c,4,3,9,0,0,0,0,1,1,1,1,8,1,1,0,0,1,0
Neil,m,w,0,c,4,3,5,0,1,0,0,1,1,0,0,,1,0,0,0,0,0
Tamika,f,b,0,c,4,3,10,0,0,0,1,0,0,1,0,8,1,1,0,0,1,0
Anne,f,w,0,c,4,4,8,0,0,0,0,1,1,1,0,some,0,1,0,0,1,0
Geoffrey,m,w,0,c,2,3,6,0,1,0,1,1,1,1,0,2,0,1,0,0,0,0
Latoya,f,b,0,c,4,4,5,0,1,0,1,0,1,1,1,some,0,1,0,0,1,0
Rasheed,m,b,0,c,2,3,4,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0
Aisha,f,b,0,c,3,4,6,0,0,0,0,1,0,1,0,3,1,1,0,1,1,0
Allison,f,w,0,c,3,3,4,0,1,1,0,1,1,1,0,3,1,1,0,1,1,0
Carrie,f,w,0,c,2,2,6,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0
Ebony,f,b,0,c,0,2,4,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0
Kenya,f,b,0,c,3,3,5,0,1,0,0,1,1,1,0,3,1,1,0,1,1,0
Kristen,f,w,0,c,4,3,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
Jermaine,m,b,0,c,2,3,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Laurie,f,w,0,c,2,3,4,0,0,0,0,0,0,0,1,,0,0,0,0,0,0
Allison,f,w,0,c,2,3,7,0,1,0,1,1,0,1,0,5,1,1,0,0,1,0
Kristen,f,w,0,c,3,3,9,0,0,0,0,1,1,1,0,5,1,1,0,0,1,0
Lakisha,f,b,0,c,4,2,7,1,0,0,1,0,0,1,0,5,1,1,0,0,1,0
Latonya,f,b,0,c,3,4,8,0,1,0,1,0,1,1,0,5,1,1,0,0,1,0
Brad,m,w,0,c,4,5,6,0,0,0,1,0,0,1,1,some,0,1,0,0,0,0
Leroy,m,b,0,c,4,3,9,0,0,0,1,0,0,1,1,some,0,1,0,0,0,0
Emily,f,w,0,c,3,2,12,0,1,0,1,0,1,1,0,,0,0,0,0,1,0
Latonya,f,b,0,c,2,2,6,0,0,0,0,0,0,1,0,,0,0,0,0,1,0
Latoya,f,b,0,c,4,3,5,1,0,0,1,1,1,1,0,,0,0,0,0,1,0
Laurie,f,w,0,c,4,4,7,0,0,0,1,0,0,1,0,,0,0,0,0,1,0
Aisha,f,b,0,c,4,3,14,0,0,0,0,0,1,0,0,,0,0,1,0,0,0
Allison,f,w,0,c,4,5,12,0,0,0,1,1,0,1,0,some,0,1,0,0,1,0
Ebony,f,b,0,c,4,5,7,0,0,1,1,0,1,1,1,some,0,1,0,0,1,0
Jermaine,m,b,0,c,3,2,3,0,0,0,1,0,0,0,1,,0,0,1,0,0,0
Kristen,f,w,0,c,2,3,1,0,0,0,0,0,0,0,1,,0,0,1,0,0,0
Latonya,f,b,0,c,4,2,5,1,0,0,1,0,0,1,0,some,0,1,0,0,1,0
Laurie,f,w,0,c,4,4,21,0,0,0,1,1,1,1,0,some,0,1,0,0,1,0
Laurie,f,w,0,c,4,3,2,0,0,0,1,0,1,1,1,,0,0,1,0,0,0
Anne,f,w,0,c,4,4,7,0,0,0,1,0,0,1,0,,0,0,0,0,1,0
Brendan,m,w,1,c,4,5,10,0,0,0,1,0,1,1,0,,1,0,0,0,0,0
Kareem,m,b,0,c,4,5,10,0,0,0,1,0,1,0,1,,1,0,0,0,0,0
Keisha,f,b,0,c,3,2,7,0,1,0,1,0,1,1,0,,0,0,0,0,1,0
Matthew,m,w,1,c,4,2,6,0,0,1,1,0,0,1,1,,1,0,0,0,0,0
Meredith,f,w,0,c,4,3,6,1,0,0,1,1,1,1,0,,0,0,0,0,1,0
Tanisha,f,b,0,c,2,2,6,0,0,0,0,0,0,1,0,,0,0,0,0,1,0
Tanisha,f,b,1,c,3,3,11,0,0,0,1,1,0,1,1,,1,0,0,0,0,0
Aisha,f,b,0,b,4,4,14,0,1,0,0,1,0,1,1,3,1,1,0,0,0,0
Allison,f,w,0,b,4,4,8,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0
Allison,f,w,0,b,4,6,18,0,1,0,0,0,0,1,0,3,1,1,0,0,0,0
Anne,f,w,0,b,4,3,7,0,0,0,1,0,0,0,0,some,0,1,0,0,0,0
Brendan,m,w,0,b,2,3,8,1,0,0,1,0,0,0,0,some,0,1,0,0,0,0
Brett,m,w,0,b,4,5,26,0,0,0,0,0,0,0,0,some,0,1,0,0,0,0
Brett,m,w,0,b,4,6,18,0,1,0,0,0,0,1,0,3,1,1,0,1,0,0
Brett,m,w,0,b,4,2,6,0,1,0,0,1,1,1,1,some,0,1,0,0,0,0
Ebony,f,b,0,b,4,4,6,0,0,0,0,1,0,1,0,some,0,1,0,0,0,0
Geoffrey,m,w,0,b,4,5,26,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
Jay,m,w,0,b,4,6,18,0,1,0,0,0,0,1,0,3,1,1,0,0,0,0
Jill,f,w,0,b,4,6,18,0,1,0,0,0,0,1,0,2,1,1,0,1,0,0
Keisha,f,b,0,b,4,4,8,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0
Keisha,f,b,0,b,4,4,10,1,0,1,1,0,1,1,0,some,0,1,0,0,0,0
Kenya,f,b,0,b,4,4,8,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0
Kenya,f,b,0,b,4,4,14,0,1,0,0,1,0,1,1,some,0,1,0,0,0,0
Lakisha,f,b,0,b,4,5,26,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0
Latoya,f,b,0,b,4,4,8,0,0,0,0,0,0,1,0,some,0,1,0,0,0,0
Latoya,f,b,0,b,4,4,14,0,1,0,0,1,0,1,1,3,1,1,0,0,0,0
Laurie,f,w,0,b,4,6,18,0,1,0,0,0,0,1,0,some,0,1,0,0,0,0
Matthew,m,w,0,b,4,4,8,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0
Rasheed,m,b,0,b,4,4,14,0,1,0,0,1,0,1,1,2,1,1,0,1,0,0
Sarah,f,w,0,b,4,5,26,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0
Sarah,f,w,0,b,4,4,2,0,1,1,0,1,1,1,0,some,0,1,0,0,0,0
Tamika,f,b,0,b,4,5,26,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
Tanisha,f,b,0,b,4,4,14,0,1,0,0,1,0,1,1,3,1,1,0,1,0,0
Tanisha,f,b,0,b,4,6,8,0,1,0,0,1,1,1,0,some,0,1,0,0,0,0
Tremayne,m,b,0,b,1,3,10,0,0,0,1,0,0,0,0,some,0,1,0,0,0,0
Lakisha,f,b,1,c,4,4,8,0,0,0,0,1,1,1,0,5,1,1,0,0,1,0
Meredith,f,w,1,c,4,4,8,0,1,0,1,0,1,1,1,5,1,1,0,0,1,0
Anne,f,w,0,c,3,4,9,0,0,0,0,1,0,1,0,,0,0,0,0,0,0
Latonya,f,b,0,c,3,3,9,0,1,0,1,1,1,1,0,,0,0,0,0,0,0
Sarah,f,w,0,c,4,3,12,0,0,0,0,1,1,1,0,,0,0,0,0,0,0
Tamika,f,b,0,c,4,4,15,0,0,0,1,1,0,1,1,,0,0,0,0,0,0
Jill,f,w,0,c,4,3,5,1,0,0,1,1,1,1,0,,0,0,0,0,1,0
Keisha,f,b,0,c,4,4,11,0,0,0,1,0,0,1,0,,0,0,0,0,1,0
Lakisha,f,b,0,c,3,3,3,0,1,1,0,1,1,1,0,,0,0,0,0,1,0
Meredith,f,w,0,c,2,2,6,0,0,0,0,0,0,1,0,,0,0,0,0,1,0
Jill,f,w,1,c,4,3,4,1,0,0,1,1,1,1,0,,0,0,1,0,1,1
Keisha,f,b,0,c,4,4,5,0,0,0,1,0,0,1,0,,0,0,1,0,1,1
Lakisha,f,b,0,c,3,3,4,0,1,1,0,1,1,1,0,,0,0,1,0,1,1
Meredith,f,w,0,c,2,2,6,0,0,0,0,0,0,1,0,,0,0,1,0,1,1
Carrie,f,w,0,c,3,3,7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Greg,m,w,0,c,4,3,3,0,1,0,0,1,1,1,1,,0,0,0,0,0,0
Kenya,f,b,0,c,4,3,3,0,0,0,0,0,0,1,1,,0,0,0,0,0,0
Tremayne,m,b,0,c,1,3,4,0,1,0,0,0,1,1,1,,0,0,0,0,0,0
Kenya,f,b,0,c,2,3,4,0,0,0,0,0,0,0,1,,0,0,0,0,0,0
Neil,m,w,0,c,2,3,7,0,0,0,1,0,0,0,0,,0,0,0,0,0,0
Emily,f,w,0,c,4,5,11,0,0,1,1,0,1,1,1,some,0,1,0,0,1,0
Jill,f,w,0,c,4,2,10,0,0,0,1,0,0,1,0,some,0,1,0,0,1,0
Latonya,f,b,0,c,4,1,12,0,0,0,0,1,0,1,0,some,0,1,0,0,1,0
Tanisha,f,b,0,c,4,3,10,0,1,0,0,1,1,1,0,some,0,1,0,0,1,0
Ebony,f,b,0,c,4,3,5,0,0,0,1,0,0,1,0,,0,0,1,0,1,1
Kristen,f,w,0,c,3,3,5,0,0,0,0,1,1,1,0,,0,0,1,0,1,1
Latonya,f,b,0,c,3,4,6,0,1,0,1,0,1,1,1,,0,0,1,0,1,1
Laurie,f,w,0,c,4,4,5,0,0,0,1,1,0,1,0,,0,0,1,0,1,1
Anne,f,w,0,c,3,2,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Emily,f,w,0,c,4,3,6,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0
Keisha,f,b,0,c,4,2,25,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Tanisha,f,b,0,c,4,4,21,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
Allison,f,w,0,c,4,3,6,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0
Kristen,f,w,0,c,3,4,6,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0
Latonya,f,b,0,c,3,4,4,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0
Tanisha,f,b,0,c,3,3,5,0,1,0,0,1,1,1,0,2,0,1,0,0,1,0
Aisha,f,b,0,c,3,4,9,0,0,0,0,1,0,1,0,,0,0,0,0,1,0
Allison,f,w,0,c,4,3,4,0,0,0,1,0,0,1,0,,0,0,0,0,1,0
Anne,f,w,0,c,3,3,5,0,0,0,1,0,0,1,0,some,0,1,0,0,0,0
Latonya,f,b,0,c,4,1,5,0,0,0,0,0,0,1,1,some,0,1,0,0,0,0
Latoya,f,b,0,c,4,5,4,0,0,1,1,0,1,1,1,,0,0,0,0,1,0
Sarah,f,w,0,c,4,3,4,1,0,0,1,1,1,1,0,,0,0,0,0,1,0
Aisha,f,b,0,c,4,3,5,0,1,0,0,1,1,1,1,some,0,1,0,0,1,1
Anne,f,w,0,c,4,4,7,0,0,0,1,0,0,0,1,some,0,1,0,0,1,1
Latoya,f,b,0,c,4,3,9,0,0,0,1,1,0,0,1,some,0,1,0,0,1,1
Laurie,f,w,0,c,4,3,7,0,1,0,0,1,1,1,1,some,0,1,0,0,1,1
Anne,f,w,0,c,3,4,9,0,0,0,0,1,0,1,0,,0,0,0,0,1,1
Carrie,f,w,1,c,4,3,10,0,0,0,0,1,1,1,1,,0,0,0,0,1,1
Ebony,f,b,0,c,4,2,9,1,0,0,1,0,0,1,0,,0,0,0,0,1,1
Lakisha,f,b,0,c,3,3,10,0,1,0,0,1,1,1,0,,0,0,0,0,1,1
Allison,f,w,0,c,4,4,16,0,0,0,0,0,1,1,0,3,0,1,1,1,1,0
Keisha,f,b,0,c,4,5,12,0,1,0,1,1,1,1,0,3,0,1,1,1,1,0
Kristen,f,w,0,c,4,4,11,0,0,0,1,0,0,1,0,3,0,1,1,1,1,0
Tanisha,f,b,0,c,4,2,13,0,0,0,1,0,0,1,0,3,0,1,1,1,1,0
Aisha,f,b,0,c,3,5,4,0,1,0,1,1,1,1,1,3,0,1,0,0,1,0
Emily,f,w,0,c,4,4,4,0,0,0,1,0,0,1,0,3,0,1,0,0,1,0
Latonya,f,b,0,c,4,4,5,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0
Sarah,f,w,0,c,4,6,4,0,0,0,0,1,1,1,1,3,0,1,0,0,1,0
Geoffrey,m,w,0,c,4,5,12,0,1,0,1,1,1,1,0,some,0,1,0,0,1,0
Kareem,m,b,1,c,4,4,3,0,0,0,1,0,0,1,1,some,0,1,0,0,1,0
Kristen,f,w,0,c,3,3,6,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
Rasheed,m,b,0,c,4,6,4,0,0,0,0,1,1,1,1,some,0,1,0,0,1,0
Todd,m,w,0,c,4,4,7,0,0,0,0,0,0,1,0,some,0,1,0,0,1,0
Tyrone,m,b,0,c,4,2,5,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
Brendan,m,w,0,c,4,2,6,0,0,0,0,1,0,1,0,,0,0,0,0,0,0
Jamal,m,b,0,c,4,4,2,0,0,0,0,0,0,1,0,,0,0,0,0,0,0
Matthew,m,w,0,c,4,4,6,0,1,0,1,0,1,1,1,,0,0,0,0,0,0
Meredith,f,w,1,c,4,2,4,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0
Rasheed,m,b,0,c,4,3,4,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0
Tremayne,m,b,1,c,4,5,11,0,1,0,1,1,1,1,0,,0,0,0,0,0,0
Anne,f,w,1,c,4,4,6,0,1,0,0,1,1,1,0,3,1,1,0,0,0,0
Ebony,f,b,1,c,4,5,6,0,1,0,1,1,1,1,0,3,1,1,0,0,0,0
Kristen,f,w,1,c,4,4,6,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0
Tamika,f,b,0,c,4,2,6,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0
Aisha,f,b,0,c,4,3,4,0,1,0,0,1,1,0,1,some,0,1,0,0,0,0
Allison,f,w,0,c,4,2,6,0,0,0,0,1,0,1,0,3,1,1,0,0,1,0
Emily,f,w,0,c,4,5,8,0,1,0,1,1,1,1,0,3,1,1,0,0,1,0
Kristen,f,w,0,c,0,2,4,0,1,0,1,0,1,1,1,some,0,1,0,0,0,0
Latoya,f,b,0,c,4,4,8,0,1,0,0,1,1,1,0,3,1,1,0,0,1,0
Tamika,f,b,0,c,4,4,6,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0
Aisha,f,b,0,c,4,2,3,0,0,0,0,1,0,1,0,some,0,1,0,0,1,0
Anne,f,w,0,c,4,4,7,0,0,0,0,1,1,0,1,some,0,1,0,0,1,0
Emily,f,w,0,c,4,4,2,0,0,0,1,0,0,1,0,some,0,1,0,0,1,0
Jill,f,w,0,c,4,3,6,0,0,0,0,0,0,0,1,,1,0,0,1,0,0
Keisha,f,b,0,c,4,6,4,0,0,0,0,1,1,1,1,some,0,1,0,0,1,0
